"sales_id","order_id","order_date","year","month","month_name","quarter","year_month","product_id","product_name","category","customer_id","customer_name","segment","region_id","region_name","country","units","sales_amount","cost_amount","profit_margin"
"13","CA-2017-114412","2017-04-15",2017,4,"Apr",2,"2017-04","OFF-PA-10002365","Xerox 1967","Office Supplies","AA-10480","Andrew Allen","Consumer","REG-SOUTH","South","United States",3,"15.55","10.11","0.34983922829581993569"
"14","CA-2016-161389","2016-12-05",2016,12,"Dec",4,"2016-12","OFF-BI-10003656","Fellowes PB200 Plastic Comb Binding Machine","Office Supplies","IM-15070","Irene Maddox","Consumer","REG-WEST","West","United States",3,"407.98","275.38","0.32501593215353693809"
"15","US-2015-118983","2015-11-22",2015,11,"Nov",4,"2015-11","OFF-AP-10002311","Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter","Office Supplies","HP-14815","Harold Pawlan","Home Office","REG-CENTRAL","Central","United States",5,"68.81","192.67","-1.8000290655427990"
"16","US-2015-118983","2015-11-22",2015,11,"Nov",4,"2015-11","OFF-BI-10000756","Storex DuraTech Recycled Plastic Frosted Binders","Office Supplies","HP-14815","Harold Pawlan","Home Office","REG-CENTRAL","Central","United States",3,"2.54","6.36","-1.5039370078740157"
"17","CA-2014-105893","2014-11-11",2014,11,"Nov",4,"2014-11","OFF-ST-10004186","Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D","Office Supplies","PK-19075","Pete Kriz","Consumer","REG-CENTRAL","Central","United States",6,"665.88","652.56","0.02000360425301856190"
"18","CA-2014-167164","2014-05-13",2014,5,"May",2,"2014-05","OFF-ST-10000107","Fellowes Super Stor/Drawer","Office Supplies","AG-10270","Alejandro Grove","Consumer","REG-WEST","West","United States",2,"55.50","45.51","0.18000000000000000000"
"19","CA-2014-143336","2014-08-27",2014,8,"Aug",3,"2014-08","OFF-AR-10003056","Newell 341","Office Supplies","ZD-21925","Zuschuss Donatelli","Consumer","REG-WEST","West","United States",2,"8.56","6.08","0.28971962616822429907"
"20","CA-2014-143336","2014-08-27",2014,8,"Aug",3,"2014-08","TEC-PH-10001949","Cisco SPA 501G IP Phone","Technology","ZD-21925","Zuschuss Donatelli","Consumer","REG-WEST","West","United States",3,"213.48","197.47","0.07499531572044219599"
"21","CA-2014-143336","2014-08-27",2014,8,"Aug",3,"2014-08","OFF-BI-10002215","Wilson Jones Hanging View Binder, White, 1""","Office Supplies","ZD-21925","Zuschuss Donatelli","Consumer","REG-WEST","West","United States",4,"22.72","15.34","0.32482394366197183099"
"22","CA-2016-137330","2016-12-09",2016,12,"Dec",4,"2016-12","OFF-AR-10000246","Newell 318","Office Supplies","KB-16585","Ken Black","Corporate","REG-CENTRAL","Central","United States",7,"19.46","14.40","0.26002055498458376156"
"23","CA-2016-137330","2016-12-09",2016,12,"Dec",4,"2016-12","OFF-AP-10001492","Acco Six-Outlet Power Strip, 4' Cord Length","Office Supplies","KB-16585","Ken Black","Corporate","REG-CENTRAL","Central","United States",7,"60.34","44.65","0.26002651640702684786"
"24","US-2017-156909","2017-07-16",2017,7,"Jul",3,"2017-07","FUR-CH-10002774","Global Deluxe Stacking Chair, Gray","Furniture","SF-20065","Sandra Flanagan","Consumer","REG-EAST","East","United States",2,"71.37","72.39","-0.01429171920975199664"
"25","CA-2015-106320","2015-09-25",2015,9,"Sep",3,"2015-09","FUR-TA-10000577","Bretford CR4500 Series Slim Rectangular Table","Furniture","EB-13870","Emily Burns","Consumer","REG-WEST","West","United States",3,"1044.63","804.37","0.22999530934397825067"
"26","CA-2016-121755","2016-01-16",2016,1,"Jan",1,"2016-01","OFF-BI-10001634","Wilson Jones Active Use Binders","Office Supplies","EH-13945","Eric Hoffmann","Consumer","REG-WEST","West","United States",2,"11.65","7.43","0.36223175965665236052"
"27","CA-2016-121755","2016-01-16",2016,1,"Jan",1,"2016-01","TEC-AC-10003027","Imation 8GB Mini TravelDrive USB 2.0 Flash Drive","Technology","EH-13945","Eric Hoffmann","Consumer","REG-WEST","West","United States",3,"90.57","78.80","0.12995473114717897759"
"28","US-2015-150630","2015-09-17",2015,9,"Sep",3,"2015-09","FUR-BO-10004834","Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","Furniture","TB-21520","Tracy Blumstein","Consumer","REG-EAST","East","United States",7,"3083.43","4748.48","-0.53999928650885539805"
"29","US-2015-150630","2015-09-17",2015,9,"Sep",3,"2015-09","OFF-BI-10000474","Avery Recycled Flexi-View Covers for Binding Systems","Office Supplies","TB-21520","Tracy Blumstein","Consumer","REG-EAST","East","United States",2,"9.62","16.67","-0.73284823284823284823"
"30","US-2015-150630","2015-09-17",2015,9,"Sep",3,"2015-09","FUR-FU-10004848","Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock","Furniture","TB-21520","Tracy Blumstein","Consumer","REG-EAST","East","United States",3,"124.20","108.68","0.12495974235104669887"
"31","US-2015-150630","2015-09-17",2015,9,"Sep",3,"2015-09","OFF-EN-10001509","Poly String Tie Envelopes","Office Supplies","TB-21520","Tracy Blumstein","Consumer","REG-EAST","East","United States",2,"3.26","2.16","0.33742331288343558282"
"32","US-2015-150630","2015-09-17",2015,9,"Sep",3,"2015-09","OFF-AR-10004042","BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain","Office Supplies","TB-21520","Tracy Blumstein","Consumer","REG-EAST","East","United States",6,"86.30","76.59","0.11251448435689455388"
"33","US-2015-150630","2015-09-17",2015,9,"Sep",3,"2015-09","OFF-BI-10001525","Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red","Office Supplies","TB-21520","Tracy Blumstein","Consumer","REG-EAST","East","United States",6,"6.86","12.57","-0.83236151603498542274"
"34","US-2015-150630","2015-09-17",2015,9,"Sep",3,"2015-09","OFF-AR-10001683","Lumber Crayons","Office Supplies","TB-21520","Tracy Blumstein","Consumer","REG-EAST","East","United States",2,"15.76","12.21","0.22525380710659898477"
"35","CA-2017-107727","2017-10-19",2017,10,"Oct",4,"2017-10","OFF-PA-10000249","Easy-staple paper","Office Supplies","MA-17560","Matt Abelman","Home Office","REG-CENTRAL","Central","United States",3,"29.47","19.53","0.33729216152019002375"
"36","CA-2016-117590","2016-12-08",2016,12,"Dec",4,"2016-12","TEC-PH-10004977","GE 30524EE4","Technology","GH-14485","Gene Hale","Corporate","REG-CENTRAL","Central","United States",7,"1097.54","974.07","0.11249703883229768391"
"37","CA-2016-117590","2016-12-08",2016,12,"Dec",4,"2016-12","FUR-FU-10003664","Electrix Architect's Clamp-On Swing Arm Lamp, Black","Furniture","GH-14485","Gene Hale","Corporate","REG-CENTRAL","Central","United States",5,"190.92","338.88","-0.77498428661219358894"
"38","CA-2015-117415","2015-12-27",2015,12,"Dec",4,"2015-12","OFF-EN-10002986","#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes","Office Supplies","SN-20710","Steve Nguyen","Home Office","REG-CENTRAL","Central","United States",9,"113.33","77.91","0.31253860407659048796"
"39","CA-2015-117415","2015-12-27",2015,12,"Dec",4,"2015-12","FUR-BO-10002545","Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors","Furniture","SN-20710","Steve Nguyen","Home Office","REG-CENTRAL","Central","United States",3,"532.40","579.38","-0.08824192336589030804"
"40","CA-2015-117415","2015-12-27",2015,12,"Dec",4,"2015-12","FUR-CH-10004218","Global Fabric Manager's Chair, Dark Gray","Furniture","SN-20710","Steve Nguyen","Home Office","REG-CENTRAL","Central","United States",3,"212.06","227.21","-0.07144204470432896350"
"41","CA-2015-117415","2015-12-27",2015,12,"Dec",4,"2015-12","TEC-PH-10000486","Plantronics HL10 Handset Lifter","Technology","SN-20710","Steve Nguyen","Home Office","REG-CENTRAL","Central","United States",4,"371.17","329.41","0.11250909286849691516"
"42","CA-2017-120999","2017-09-10",2017,9,"Sep",3,"2017-09","TEC-PH-10004093","Panasonic Kx-TS550","Technology","LC-16930","Linda Cazamias","Corporate","REG-CENTRAL","Central","United States",4,"147.17","130.61","0.11252293266290684243"
"43","CA-2016-101343","2016-07-17",2016,7,"Jul",3,"2016-07","OFF-ST-10003479","Eldon Base for stackable storage shelf, platinum","Office Supplies","RA-19885","Ruben Ausman","Corporate","REG-WEST","West","United States",2,"77.88","73.99","0.04994863893168977915"
"44","CA-2017-139619","2017-09-19",2017,9,"Sep",3,"2017-09","OFF-ST-10003282","Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers","Office Supplies","ES-14080","Erin Smith","Corporate","REG-SOUTH","South","United States",2,"95.62","86.05","0.10008366450533361222"
"45","CA-2016-118255","2016-03-11",2016,3,"Mar",1,"2016-03","TEC-AC-10000171","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack","Technology","ON-18715","Odella Nelson","Corporate","REG-CENTRAL","Central","United States",2,"45.98","26.21","0.42996955197912135711"
"46","CA-2016-118255","2016-03-11",2016,3,"Mar",1,"2016-03","OFF-BI-10003291","Wilson Jones Leather-Like Binders with DublLock Round Rings","Office Supplies","ON-18715","Odella Nelson","Corporate","REG-CENTRAL","Central","United States",2,"17.46","9.25","0.47021764032073310424"
"47","CA-2014-146703","2014-10-20",2014,10,"Oct",4,"2014-10","OFF-ST-10001713","Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black","Office Supplies","PO-18865","Patrick O'Donnell","Consumer","REG-CENTRAL","Central","United States",4,"211.96","203.48","0.04000754859407435365"
"48","CA-2016-169194","2016-06-20",2016,6,"Jun",2,"2016-06","TEC-AC-10002167","Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive","Technology","LH-16900","Lena Hernandez","Consumer","REG-EAST","East","United States",3,"45.00","40.05","0.11000000000000000000"
"49","CA-2016-169194","2016-06-20",2016,6,"Jun",2,"2016-06","TEC-PH-10003988","LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite","Technology","LH-16900","Lena Hernandez","Consumer","REG-EAST","East","United States",2,"21.80","15.70","0.27981651376146788991"
"50","CA-2015-115742","2015-04-18",2015,4,"Apr",2,"2015-04","OFF-BI-10004410","C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack","Office Supplies","DP-13000","Darren Powers","Consumer","REG-CENTRAL","Central","United States",6,"38.22","20.26","0.46991104133961276818"
"51","CA-2015-115742","2015-04-18",2015,4,"Apr",2,"2015-04","OFF-LA-10002762","Avery 485","Office Supplies","DP-13000","Darren Powers","Consumer","REG-CENTRAL","Central","United States",6,"75.18","39.85","0.46993881351423250865"
"52","CA-2015-115742","2015-04-18",2015,4,"Apr",2,"2015-04","FUR-FU-10001706","Longer-Life Soft White Bulbs","Furniture","DP-13000","Darren Powers","Consumer","REG-CENTRAL","Central","United States",2,"6.16","3.20","0.48051948051948051948"
"53","CA-2015-115742","2015-04-18",2015,4,"Apr",2,"2015-04","FUR-CH-10003061","Global Leather Task Chair, Black","Furniture","DP-13000","Darren Powers","Consumer","REG-CENTRAL","Central","United States",1,"89.99","72.89","0.19002111345705078342"
"54","CA-2016-105816","2016-12-11",2016,12,"Dec",4,"2016-12","OFF-FA-10000304","Advantus Push Pins","Office Supplies","JM-15265","Janet Molinari","Corporate","REG-EAST","East","United States",7,"15.26","9.00","0.41022280471821756225"
"55","CA-2016-105816","2016-12-11",2016,12,"Dec",4,"2016-12","TEC-PH-10002447","AT&T CL83451 4-Handset Telephone","Technology","JM-15265","Janet Molinari","Corporate","REG-EAST","East","United States",5,"1029.95","731.26","0.29000436914413321035"
"56","CA-2016-111682","2016-06-17",2016,6,"Jun",2,"2016-06","OFF-ST-10000604","Home/Office Personal File Carts","Office Supplies","TB-21055","Ted Butterfield","Consumer","REG-EAST","East","United States",6,"208.56","156.42","0.25000000000000000000"
"57","CA-2016-111682","2016-06-17",2016,6,"Jun",2,"2016-06","OFF-PA-10001569","Xerox 232","Office Supplies","TB-21055","Ted Butterfield","Consumer","REG-EAST","East","United States",5,"32.40","16.85","0.47993827160493827160"
"58","CA-2016-111682","2016-06-17",2016,6,"Jun",2,"2016-06","FUR-CH-10003968","Novimex Turbo Task Chair","Furniture","TB-21055","Ted Butterfield","Consumer","REG-EAST","East","United States",5,"319.41","312.31","0.02222848376694530541"
"59","CA-2016-111682","2016-06-17",2016,6,"Jun",2,"2016-06","OFF-PA-10000587","Array Parchment Paper, Assorted Colors","Office Supplies","TB-21055","Ted Butterfield","Consumer","REG-EAST","East","United States",2,"14.56","7.57","0.48008241758241758242"
"60","CA-2016-111682","2016-06-17",2016,6,"Jun",2,"2016-06","TEC-AC-10002167","Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive","Technology","TB-21055","Ted Butterfield","Consumer","REG-EAST","East","United States",2,"30.00","26.70","0.11000000000000000000"
"61","CA-2016-111682","2016-06-17",2016,6,"Jun",2,"2016-06","OFF-BI-10001460","Plastic Binding Combs","Office Supplies","TB-21055","Ted Butterfield","Consumer","REG-EAST","East","United States",4,"48.48","32.12","0.33745874587458745875"
"62","CA-2016-111682","2016-06-17",2016,6,"Jun",2,"2016-06","OFF-AR-10001868","Prang Dustless Chalk Sticks","Office Supplies","TB-21055","Ted Butterfield","Consumer","REG-EAST","East","United States",1,"1.68","0.84","0.50000000000000000000"
"63","CA-2015-135545","2015-11-24",2015,11,"Nov",4,"2015-11","TEC-AC-10004633","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack","Technology","KM-16720","Kunst Miller","Consumer","REG-WEST","West","United States",2,"13.98","7.83","0.43991416309012875536"
"64","CA-2015-135545","2015-11-24",2015,11,"Nov",4,"2015-11","OFF-BI-10001078","Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""","Office Supplies","KM-16720","Kunst Miller","Consumer","REG-WEST","West","United States",6,"25.82","16.46","0.36250968241673121611"
"65","CA-2015-135545","2015-11-24",2015,11,"Nov",4,"2015-11","OFF-PA-10003892","Xerox 1943","Office Supplies","KM-16720","Kunst Miller","Consumer","REG-WEST","West","United States",3,"146.73","77.77","0.46997887275949022013"
"66","CA-2015-135545","2015-11-24",2015,11,"Nov",4,"2015-11","FUR-FU-10000397","Luxo Economy Swing Arm Lamp","Furniture","KM-16720","Kunst Miller","Consumer","REG-WEST","West","United States",4,"79.76","57.43","0.27996489468405215647"
"67","US-2015-164175","2015-04-30",2015,4,"Apr",2,"2015-04","FUR-CH-10001146","Global Task Chair, Black","Furniture","PS-18970","Paul Stevenson","Home Office","REG-CENTRAL","Central","United States",5,"213.12","228.34","-0.07141516516516516517"
"68","CA-2014-106376","2014-12-05",2014,12,"Dec",4,"2014-12","OFF-AR-10002671","Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige","Office Supplies","BS-11590","Brendan Sweed","Corporate","REG-WEST","West","United States",8,"1113.02","1001.72","0.09999820308709636844"
"69","CA-2014-106376","2014-12-05",2014,12,"Dec",4,"2014-12","TEC-PH-10002726","netTALK DUO VoIP Telephone Service","Technology","BS-11590","Brendan Sweed","Corporate","REG-WEST","West","United States",4,"167.97","104.98","0.37500744180508424123"
"70","CA-2016-119823","2016-06-04",2016,6,"Jun",2,"2016-06","OFF-PA-10000482","Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate","Office Supplies","KD-16270","Karen Daniels","Consumer","REG-SOUTH","South","United States",2,"75.88","40.22","0.46995255666842382710"
"71","CA-2016-106075","2016-09-18",2016,9,"Sep",3,"2016-09","OFF-BI-10004654","Avery Binding System Hidden Tab Executive Style Index Sets","Office Supplies","HM-14980","Henry MacAllister","Consumer","REG-EAST","East","United States",1,"4.62","2.89","0.37445887445887445887"
"72","CA-2017-114440","2017-09-14",2017,9,"Sep",3,"2017-09","OFF-PA-10004675","Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""","Office Supplies","TB-21520","Tracy Blumstein","Consumer","REG-CENTRAL","Central","United States",3,"19.05","10.29","0.45984251968503937008"
"73","US-2015-134026","2015-04-26",2015,4,"Apr",2,"2015-04","FUR-CH-10000513","High-Back Leather Manager's Chair","Furniture","JE-15745","Joel Eaton","Consumer","REG-SOUTH","South","United States",8,"831.94","946.33","-0.13749789648291944131"
"74","US-2015-134026","2015-04-26",2015,4,"Apr",2,"2015-04","FUR-FU-10003708","Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""","Furniture","JE-15745","Joel Eaton","Consumer","REG-SOUTH","South","United States",2,"97.04","95.83","0.01246908491343775763"
"75","US-2015-134026","2015-04-26",2015,4,"Apr",2,"2015-04","OFF-ST-10004123","Safco Industrial Wire Shelving System","Office Supplies","JE-15745","Joel Eaton","Consumer","REG-SOUTH","South","United States",1,"72.78","90.98","-0.25006870019236053861"
"76","US-2017-118038","2017-12-09",2017,12,"Dec",4,"2017-12","OFF-BI-10004182","Economy Binders","Office Supplies","KB-16600","Ken Brennan","Corporate","REG-CENTRAL","Central","United States",3,"1.25","3.18","-1.54400000000000000000"
"77","US-2017-118038","2017-12-09",2017,12,"Dec",4,"2017-12","FUR-FU-10000260","6"" Cubicle Wall Clock, Black","Furniture","KB-16600","Ken Brennan","Corporate","REG-CENTRAL","Central","United States",3,"9.71","15.53","-0.59938208032955715757"
"78","US-2017-118038","2017-12-09",2017,12,"Dec",4,"2017-12","OFF-ST-10000615","SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h","Office Supplies","KB-16600","Ken Brennan","Corporate","REG-CENTRAL","Central","United States",3,"27.24","24.52","0.09985315712187958884"
"79","US-2014-147606","2014-11-26",2014,11,"Nov",4,"2014-11","FUR-FU-10003194","Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak","Furniture","JE-15745","Joel Eaton","Consumer","REG-CENTRAL","Central","United States",5,"19.30","33.78","-0.75025906735751295337"
"80","CA-2016-127208","2016-06-12",2016,6,"Jun",2,"2016-06","OFF-AP-10002118","1.7 Cubic Foot Compact ""Cube"" Office Refrigerators","Office Supplies","SC-20770","Stewart Carmichael","Corporate","REG-SOUTH","South","United States",1,"208.16","151.96","0.26998462720983858570"
"81","CA-2016-127208","2016-06-12",2016,6,"Jun",2,"2016-06","OFF-BI-10002309","Avery Heavy-Duty EZD  Binder With Locking Rings","Office Supplies","SC-20770","Stewart Carmichael","Corporate","REG-SOUTH","South","United States",3,"16.74","8.70","0.48028673835125448029"
"82","CA-2014-139451","2014-10-12",2014,10,"Oct",4,"2014-10","OFF-AR-10002053","Premium Writing Pencils, Soft, #2 by Central Association for the Blind","Office Supplies","DN-13690","Duane Noonan","Consumer","REG-WEST","West","United States",5,"14.90","10.73","0.27986577181208053691"
"83","CA-2014-139451","2014-10-12",2014,10,"Oct",4,"2014-10","OFF-ST-10002370","Sortfiler Multipurpose Personal File Organizer, Black","Office Supplies","DN-13690","Duane Noonan","Consumer","REG-WEST","West","United States",1,"21.39","15.19","0.28985507246376811594"
"84","CA-2015-149734","2015-09-03",2015,9,"Sep",3,"2015-09","OFF-EN-10000927","Jet-Pak Recycled Peel 'N' Seal Padded Mailers","Office Supplies","JC-16105","Julie Creighton","Corporate","REG-SOUTH","South","United States",7,"200.98","138.18","0.31246890237834610409"
"85","US-2017-119662","2017-11-13",2017,11,"Nov",4,"2017-11","OFF-ST-10003656","Safco Industrial Wire Shelving","Office Supplies","CS-12400","Christopher Schild","Home Office","REG-CENTRAL","Central","United States",3,"230.38","279.33","-0.21247504123621842174"
"86","CA-2017-140088","2017-05-28",2017,5,"May",2,"2017-05","FUR-CH-10000863","Novimex Swivel Fabric Task Chair","Furniture","PO-18865","Patrick O'Donnell","Consumer","REG-SOUTH","South","United States",2,"301.96","268.74","0.11001457146641939330"
"87","CA-2017-155558","2017-10-26",2017,10,"Oct",4,"2017-10","TEC-AC-10001998","Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired","Technology","PG-18895","Paul Gonzalez","Consumer","REG-CENTRAL","Central","United States",1,"19.99","13.19","0.34017008504252126063"
"88","CA-2017-155558","2017-10-26",2017,10,"Oct",4,"2017-10","OFF-LA-10000134","Avery 511","Office Supplies","PG-18895","Paul Gonzalez","Consumer","REG-CENTRAL","Central","United States",2,"6.16","3.20","0.48051948051948051948"
"89","CA-2016-159695","2016-04-05",2016,4,"Apr",2,"2016-04","OFF-ST-10003442","Eldon Portable Mobile Manager","Office Supplies","GM-14455","Gary Mitchum","Home Office","REG-CENTRAL","Central","United States",7,"158.37","144.51","0.08751657510892214435"
"90","CA-2016-109806","2016-09-17",2016,9,"Sep",3,"2016-09","OFF-AR-10004930","Turquoise Lead Holder with Pocket Clip","Office Supplies","JS-15685","Jim Sink","Corporate","REG-WEST","West","United States",3,"20.10","13.47","0.32985074626865671642"
"91","CA-2016-109806","2016-09-17",2016,9,"Sep",3,"2016-09","TEC-PH-10004093","Panasonic Kx-TS550","Technology","JS-15685","Jim Sink","Corporate","REG-WEST","West","United States",2,"73.58","65.31","0.11239467246534384344"
"92","CA-2016-109806","2016-09-17",2016,9,"Sep",3,"2016-09","OFF-PA-10000304","Xerox 1995","Office Supplies","JS-15685","Jim Sink","Corporate","REG-WEST","West","United States",1,"6.48","3.37","0.47993827160493827160"
"93","CA-2015-149587","2015-01-31",2015,1,"Jan",1,"2015-01","OFF-PA-10003177","Xerox 1999","Office Supplies","KB-16315","Karl Braun","Consumer","REG-CENTRAL","Central","United States",2,"12.96","6.74","0.47993827160493827160"
"94","CA-2015-149587","2015-01-31",2015,1,"Jan",1,"2015-01","FUR-FU-10003799","Seth Thomas 13 1/2"" Wall Clock","Furniture","KB-16315","Karl Braun","Consumer","REG-CENTRAL","Central","United States",3,"53.34","36.80","0.31008623922009748781"
"95","CA-2015-149587","2015-01-31",2015,1,"Jan",1,"2015-01","OFF-BI-10002852","Ibico Standard Transparent Covers","Office Supplies","KB-16315","Karl Braun","Consumer","REG-CENTRAL","Central","United States",2,"32.96","16.81","0.48998786407766990291"
"96","US-2017-109484","2017-11-06",2017,11,"Nov",4,"2017-11","OFF-BI-10004738","Flexible Leather- Look Classic Collection Ring Binder","Office Supplies","RB-19705","Roger Barcio","Home Office","REG-WEST","West","United States",1,"5.68","9.47","-0.66725352112676056338"
"97","CA-2017-161018","2017-11-09",2017,11,"Nov",4,"2017-11","FUR-FU-10000629","9-3/4 Diameter Round Wall Clock","Furniture","PN-18775","Parhena Norris","Home Office","REG-EAST","East","United States",7,"96.53","55.99","0.41997306536827929141"
"98","CA-2017-157833","2017-06-17",2017,6,"Jun",2,"2017-06","OFF-BI-10001721","Trimflex Flexible Post Binders","Office Supplies","KD-16345","Katherine Ducich","Consumer","REG-WEST","West","United States",3,"51.31","33.35","0.35002923406743324888"
"99","CA-2016-149223","2016-09-06",2016,9,"Sep",3,"2016-09","OFF-AP-10000358","Fellowes Basic Home/Office Series Surge Protectors","Office Supplies","ER-13855","Elpida Rittenbach","Corporate","REG-CENTRAL","Central","United States",6,"77.88","55.29","0.29006163328197226502"
"100","CA-2016-158568","2016-08-29",2016,8,"Aug",3,"2016-08","OFF-PA-10003256","Avery Personal Creations Heavyweight Cards","Office Supplies","RB-19465","Rick Bensley","Home Office","REG-CENTRAL","Central","United States",7,"64.62","42.01","0.34989167440420922315"
"101","CA-2016-158568","2016-08-29",2016,8,"Aug",3,"2016-08","TEC-AC-10001767","SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card","Technology","RB-19465","Rick Bensley","Home Office","REG-CENTRAL","Central","United States",3,"95.98","106.77","-0.11241925401125234424"
"102","CA-2016-158568","2016-08-29",2016,8,"Aug",3,"2016-08","OFF-BI-10002609","Avery Hidden Tab Dividers for Binding Systems","Office Supplies","RB-19465","Rick Bensley","Home Office","REG-CENTRAL","Central","United States",3,"1.79","4.83","-1.6983240223463687"
"103","CA-2016-129903","2016-12-01",2016,12,"Dec",4,"2016-12","OFF-PA-10004040","Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)","Office Supplies","GZ-14470","Gary Zandusky","Consumer","REG-CENTRAL","Central","United States",4,"23.92","12.20","0.48996655518394648829"
"104","US-2015-156867","2015-11-13",2015,11,"Nov",4,"2015-11","TEC-AC-10001552","Logitech K350 2.4Ghz Wireless Keyboard","Technology","LC-16870","Lena Cacioppo","Consumer","REG-WEST","West","United States",6,"238.90","265.77","-0.11247383842611971536"
